,AutoGluon,AutoSklearn,CatBoost,EBM,LightGBM,XGBoost
dataset_1049_pc4,0.9393966480446927,0.9379217877094972,0.9539217877094972,0.945340782122905,0.9385921787709497,0.9338100558659217
dataset_1050_pc3,0.8386156805171054,0.7941189666813937,0.8574206742748061,0.8509412431532273,0.8530463250688209,0.8267439590551013
dataset_1063_kc2,0.875977011494253,0.8855172413793102,0.8854022988505748,0.8800000000000001,0.7974712643678161,0.803448275862069
dataset_1068_pc1,0.7033920236851272,0.8581569139672588,0.8753881922675026,0.795880355276907,0.835517415534657,0.8036489028213165
dataset_11_balance-scale,0.926276496451312,0.997987948265726,0.910667126403407,0.9906024728997289,0.9298691202090593,0.9458815089043748
dataset_12_mfeat-factors,0.9987896825396826,0.9977919501133787,0.9991723356009071,0.9989994331065761,0.998764172335601,0.9982114512471656
dataset_1462_banknote-authentication,1.0,1.0,1.0,1.0,0.999714128642111,0.9998683126599172
dataset_1464_blood-transfusion-service-center,0.735940611814346,0.7455970464135021,0.7289861814345991,0.7254032700421941,0.6582536919831223,0.6685916666666667
dataset_1468_cnae-9,0.9919346994602153,0.9938214970897148,0.9918131322688388,0.9967977041292091,0.9853911356209151,0.9854252646217802
dataset_1480_ilpd,0.7362221431657052,0.7049688079688968,0.7448412446319214,0.7439413767692424,0.7325167924512319,0.7048954336391126
dataset_1494_qsar-biodeg,0.9146471100958793,0.9277082744732649,0.9246955692859933,0.9261026977590952,0.919940196739331,0.9072169156322325
dataset_1501_semeion,0.9960465863180366,0.995578226580422,0.9968309553195273,0.9966704141518259,0.9961812934540207,0.994845120572909
dataset_1510_wdbc,0.9767586206896552,0.9914620689655171,0.9919862068965518,0.9943126436781607,0.9906022988505747,0.9895310344827586
dataset_15_breast-w,0.9913811831550803,0.9938252005347593,0.9926247771836006,0.9924019607843138,0.9916750222816401,0.9909132687165776
dataset_188_eucalyptus,0.8845315552591204,0.8896892471939853,0.9028237851037852,0.8982032135895294,0.8870545042092411,0.8885087470813786
dataset_23381_dresses-sales,0.5949794645360246,0.5647101205494813,0.5843274460330811,0.6044878048780488,0.5488337538547798,0.5356811045696663
dataset_23_cmc,0.698550742052729,0.7268142765076032,0.7184887450550114,0.7129049914192982,0.6827292798244724,0.6699507831268126
dataset_29_credit-approval,0.9244494823915623,0.9311710789332552,0.9422553751645459,0.9325126354964002,0.9301252986202526,0.9238944956364877
dataset_307_vowel,0.9958635256257304,0.9943821311963046,0.9967135108481264,0.9917110453648915,0.9955840953917876,0.9920069033530572
dataset_31_credit-g,0.7510689990281827,0.7706511175898931,0.7945578231292516,0.7912050534499514,0.7574344023323615,0.754907677356657
dataset_37_diabetes,0.8118370249949198,0.8183722820564926,0.836374720585247,0.8274232879496036,0.778874212558423,0.761203007518797
dataset_40966_MiceProtein,0.9985610623570746,0.9996340153650616,0.9992017496001611,0.9994265642325171,0.9994563401581887,0.997234223373208
dataset_40975_car,0.9916797362018801,0.9956468832556069,0.9654604695956234,0.9808143250220999,0.9836521129205849,0.9796635612453632
dataset_40982_steel-plates-fault,0.9559203291885732,0.9515324572638431,0.9648925862120002,0.955951166214746,0.9662009102110524,0.9620693582386611
dataset_40994_climate-model-simulation-crashes,0.9536024844720498,0.9549413388543824,0.9488681849551416,0.9522222222222222,0.9510766045548655,0.9247550034506556
dataset_458_analcatdata_authorship,0.9999135545469493,0.9999841621792841,0.9997289972899729,1.0,0.999777676591701,0.9988050204529951
dataset_469_analcatdata_dmft,0.5520095085359394,0.550292794909487,0.5800722819916269,0.5841843109261458,0.5585804068874612,0.5565021730427109
dataset_50_tic-tac-toe,0.9994604849412818,0.9945655315475724,1.0,0.9965499237808562,0.9995578129697241,0.9991116627372968
dataset_54_vehicle,0.9161096760735248,0.947008757220997,0.9251171641324598,0.9269170872062495,0.9312379039825804,0.9226335247481134
dataset_6332_cylinder-bands,0.8492732558139535,0.8529367071881607,0.8920917019027484,0.8562764270613108,0.8646604122621564,0.851671511627907
